Country,Population
Afghanistan,38928341
Albania,2877797
Algeria,43851044
American Samoa,55197
Andorra,77265
Angola,32866272
Antigua and Barbuda,97929
Argentina,45376763
Armenia,2963243
Australia,25499884
Austria,8917205
Azerbaijan,10139177
Bahamas,393244
Bahrain,1607060
Bangladesh,173562367
Barbados,287375
Belarus,9449321
Belgium,11555997
Belize,397628
Benin,12123198
Bermuda,63903
Bhutan,771612
Bolivia,11673021
Bosnia and Herzegovina,3280819
Botswana,2351625
Brazil,211998564
Brunei,437483
Bulgaria,6924716
Burkina Faso,20903278
Burundi,11890781
Cambodia,16718971
Cameroon,26545863
Canada,37742154
Cape Verde,524877
Central African Republic,4829764
Chad,16425859
Chile,19764772
China,1419321279
Colombia,52886360
Comoros,869601
Congo (Brazzaville),5518092
Congo (Kinshasa),89561403
Costa Rica,5094118
Croatia,4105267
Cuba,11326616
Cyprus,1207359
Denmark,5792202
Djibouti,988002
Dominica,71986
Dominican Republic,10847910
Ecuador,18135478
Egypt,102334403
El Salvador,6486205
Equatorial Guinea,1402985
Eritrea,3546427
Estonia,1326535
Ethiopia,114963588
Fiji,896445
Finland,5540720
France,66548532
Gabon,2225734
Gambia,2416664
Georgia,3989175
Germany,84552236
Ghana,31072940
Greece,10423054
Greenland,56770
Grenada,112523
Guam,168783
Guatemala,17915568
Guinea,13132792
Guinea Bissau,1967998
Guyana,786552
Haiti,11772561
Honduras,9904607
Hungary,9660351
Iceland,341243
India,1450935779
Indonesia,283487932
Iran,91567737
Iraq,40222503
Ireland,4937786
Israel,8655535
Italy,59342870
Ivory Coast,26378275
Jamaica,2839183
Japan,123753042
Jordan,10203134
Kazakhstan,18776707
Kenya,56432945
Kiribati,119446
Kuwait,4270571
Kyrgyzstan,6524195
Laos,7275556
Latvia,1886202
Lebanon,6825442
Lesotho,2142249
Liberia,5057677
Libya,6871287
Lithuania,2722289
Luxembourg,625976
Madagascar,27691019
Malawi,19129952
Malaysia,32365999
Maldives,527801
Mali,20250834
Malta,539613
Marshall Islands,59194
Mauritania,4649658
Mauritius,1271171
Mexico,130860999
Moldova,4033963
Mongolia,3278290
Montenegro,628062
Morocco,36910560
Mozambique,31255435
Myanmar (Burma),54500087
Namibia,2540916
Nepal,29136808
Netherlands,18228738
New Zealand,4822233
Nicaragua,6624554
Niger,24206636
Nigeria,206139587
North Korea,25778816
North Macedonia,2083380
Norway,5576655
Oman,5281542
Pakistan,220892331
Panama,4314767
Papua New Guinea,8947024
Paraguay,7132530
Peru,32971854
Philippines,115843663
Poland,37846611
Portugal,10196709
Puerto Rico,3242212
Qatar,2881053
Romania,19237691
Russia,144820423
Rwanda,12952218
Saint Lucia,183627
Saint Vincent and Grenadines,110940
Samoa,198410
Saudi Arabia,34813871
Senegal,16743930
Serbia,8737371
Seychelles,98347
Sierra Leone,7976985
Singapore,5850342
Slovakia,5459642
Slovenia,2078938
Solomon Islands,819207
Somalia,15893219
South Africa,59308690
South Korea,51269185
South Sudan,11193729
Spain,46754778
Sri Lanka,21413250
Sudan,43849269
Suriname,586634
Sweden,10099265
Switzerland,8654618
Syria,17500658
Taiwan,23816775
Tajikistan,9537645
Tanzania,68560162
Thailand,71668010
Timor Leste,1318445
Togo,8278737
Tonga,105697
Trinidad and Tobago,1507779
Tunisia,11818618
Turkey,87473800
Turkmenistan,6031200
Uganda,45741007
Ukraine,43733762
United Arab Emirates,9890402
United Kingdom,69138185
United States,345426567
Uruguay,3473730
Uzbekistan,33469203
Vanuatu,307145
Venezuela,28435940
Vietnam,97338583
Virgin Islands (U.S.),104000
Yemen,29825964
Zambia,18383955
Zimbabwe,14862927